"Час визита","Визиты","Просмотры","Посетители","Отказы"
"2023-03-05 03:00:00","5686","22948","5529","0.315511783327471"
"2023-07-17 06:00:00","5685","34298","5606","0.2043975373790677"
"2023-04-30 05:00:00","5664","30317","5512","0.24858757062146894"
"2023-03-29 01:00:00","5662","20931","5536","0.34387142352525607"
"2023-07-08 05:00:00","5656","23893","5593","0.3488330975954738"
"2023-06-03 05:00:00","5646","27097","5527","0.29330499468650373"
"2023-07-27 00:00:00","5643","25567","5538","0.2567783094098884"
"2023-03-01 03:00:00","5632","17152","5493","0.3190696022727273"
"2023-04-03 03:00:00","5627","18755","5530","0.33570286120490495"
"2023-07-09 05:00:00","5627","29141","5551","0.3309045672649724"
"2023-03-06 02:00:00","5624","16774","5467","0.354551920341394"
"2023-03-01 02:00:00","5622","17002","5511","0.3271077908217716"
"2023-04-06 04:00:00","5622","20194","5499","0.2986481679117752"
"2023-06-29 05:00:00","5614","28361","5524","0.2527609547559672"
"2023-07-25 00:00:00","5613","26001","5491","0.27115624443256725"
"2023-07-01 04:00:00","5610","21179","5499","0.3331550802139037"
"2023-07-18 06:00:00","5610","35672","5535","0.19768270944741534"
"2023-07-04 04:00:00","5608","20872","5524","0.3154422253922967"
"2023-03-17 05:00:00","5606","24394","5501","0.2079914377452729"
"2023-07-16 06:00:00","5602","33057","5526","0.282399143163156"
"2023-04-14 04:00:00","5601","19227","5468","0.2828066416711302"
"2023-07-02 04:00:00","5597","22295","5511","0.3258888690369841"
"2023-03-08 04:00:00","5592","20696","5448","0.32564377682403434"
"2023-03-25 05:00:00","5578","26761","5450","0.2341340982430979"
"2023-04-07 02:00:00","5576","17040","5439","0.34146341463414637"
"2023-03-26 05:00:00","5572","29912","5443","0.2347451543431443"
"2023-03-19 03:00:00","5571","22753","5398","0.2956381260096931"
"2023-07-31 06:00:00","5568","33338","5507","0.21228448275862066"
"2023-07-20 06:00:00","5562","32680","5489","0.20604099244875948"
"2023-06-13 01:00:00","5560","19570","5432","0.33884892086330937"
"2023-03-02 02:00:00","5557","16580","5421","0.2801871513406514"
"2023-04-19 01:00:00","5552","18295","5332","0.33735590778097985"
"2023-07-02 02:00:00","5544","20056","5412","0.33567821067821074"
"2023-04-04 02:00:00","5534","17204","5389","0.33357426816046254"
"2023-04-16 03:00:00","5534","20916","5379","0.3037585833032165"
"2023-07-19 00:00:00","5522","26232","5434","0.2674755523361101"
"2023-05-02 05:00:00","5515","24564","5430","0.2679963735267452"
"2023-07-07 01:00:00","5511","20597","5360","0.3505715841045182"
"2023-04-23 04:00:00","5492","24415","5346","0.2855061908230153"
"2023-03-11 02:00:00","5478","18465","5282","0.3402701715954728"
"2023-05-06 02:00:00","5471","18420","5351","0.30360080424054103"
"2023-05-11 05:00:00","5458","24277","5330","0.2337852693294247"
"2023-06-15 03:00:00","5453","17593","5311","0.3258756647716854"
"2023-05-10 05:00:00","5450","24808","5345","0.21688073394495416"
"2023-04-19 04:00:00","5448","21204","5280","0.276431718061674"
"2023-03-28 01:00:00","5440","17957","5301","0.34301470588235294"
"2023-04-23 02:00:00","5432","20574","5303","0.3317378497790869"
"2023-05-10 02:00:00","5431","18174","5354","0.30638924691585345"
"2023-05-26 01:00:00","5428","19015","5304","0.3704863669859985"
"2023-07-03 04:00:00","5425","20412","5354","0.312073732718894"
"2023-06-17 05:00:00","5417","24551","5287","0.2879822780136607"
"2023-07-15 01:00:00","5415","20810","5290","0.35660203139427515"
"2023-07-24 06:00:00","5415","33720","5350","0.18910433979686053"
"2023-07-01 02:00:00","5405","19707","5295","0.36503237742830713"
"2023-07-30 01:00:00","5397","23993","5323","0.30387252177135443"
"2023-06-23 04:00:00","5395","20113","5286","0.33883225208526413"
"2023-03-08 03:00:00","5393","18956","5251","0.3298720563693676"
"2023-07-26 06:00:00","5386","32104","5336","0.18492387671741553"
"2023-07-05 04:00:00","5382","20754","5298","0.3301746562616128"
"2023-03-18 04:00:00","5381","22029","5266","0.2553428730719197"
"2023-06-08 01:00:00","5374","19141","5256","0.3001488649050986"
"2023-04-17 04:00:00","5362","20546","5259","0.2952256620663931"
"2023-05-31 05:00:00","5362","26353","5273","0.2650130548302872"
